title,plot,url
X-Men: Apocalypse (2016) - full transcript,"Since the dawn of civilization, he was worshiped as a god. Apocalypse, the first and most powerful mutant from Marvel's X-Men universe, amassed the powers of many other mutants, becoming immortal and invincible. Upon awakening after thousands of years, he is disillusioned with the world as he finds it and recruits a team of powerful mutants, including a disheartened Magneto, to cleanse mankind and create a new world order, over which he will reign. As the fate of the Earth hangs in the balance, Raven with the help of Professor X must lead a team of young X-Men to stop their greatest nemesis and save mankind from complete destruction.",https://subslikescript.com/movie/X-Men_Apocalypse-3385516
X-Men: Dark Phoenix (2019) - full transcript,"Jean Grey begins to develop incredible powers that corrupt and turn her into a Dark Phoenix, causing the X-Men to decide if her life is worth more than all of humanity.",https://subslikescript.com/movie/X-Men_Dark_Phoenix-6565702
X-Men: First Class (2011) - full transcript,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were archenemies, they were closest of friends, working together, with other Mutants (some familiar, some new), to stop the greatest threat the world has ever known. In the process, a rift between them opened, which began the eternal war between Magneto's Brotherhood and Professor X's X-MEN.",https://subslikescript.com/movie/X-Men_First_Class-1270798
X-Men: Days of Future Past (2014) - full transcript,"In the future, the mutants and the humans that help them are slaughtered by powerful robots named Sentinels. Professor Xavier, Wolverine, Magneto, Storm, Kitty Pryde and her friends meet at a monastery in China and Xavier explains that the invincible Sentinels were created using the DNA of Mystique that was captured in 1973 when she tried to assassinate their creator Dr. Bolivar Trask. Xavier tells that their only chance is return to 1973 using Pryde's ability to join Charles Xavier and Erik Lehnsherr to convince Mystique to give up of her intention. . However, only Wolverine can withstand the damages of the time travel. Will he succeed in stopping Mystique and the Sentinel Program and save the mutants and their human friends from annihilation?",https://subslikescript.com/movie/X-Men_Days_of_Future_Past-1877832
X-Men 2 (2003) - full transcript,"Several months have passed since The X-Men defeated Magneto and imprisoned him in a seemingly impregnable plastic chamber. One day, a mutant by the name of Nightcrawler infiltrates the White House and attempts to assassinate the president, setting off a chain reaction of anti-mutant measures by the government. Meanwhile, Logan is trying to discover his past. As scientist named William Stryker discovers Professor X's secret school and Cerebro, Magneto's partner, Mystique, is planning to break her leader out of prison. But when Professor X's school is attacked by Stryker's forces, Logan, Rogue, Iceman and a few are lucky to escape. Those who remain meet in Boston, where they form an uneasy alliance with Magneto to stop Stryker and rescue Professor X.",https://subslikescript.com/movie/X-Men_2-290334
Xenophobia (2019) - full transcript,Six complete strangers recall the details of their individual experiences with alien forces-sharing the terrifying stories of their abductions and possessions.,https://subslikescript.com/movie/Xenophobia-8571404
Xenia (2014) - full transcript,"Strangers in their own birthplace, 16-year-old Danny and 18-year-old Odysseus cross the entire country in search of their Greek father, after their Albanian mother passes away. Determined to force him to acknowledge paternity, little do they know that the road to the much-coveted Greek citizenship is paved with ghosts from the past, adult savagery and a dream that needs to come true, no matter what. Reaching the end of this initiatory journey they eventually come of age even if Greece refuses to follow.",https://subslikescript.com/movie/Xenia-3186946
Xi lu xiang (1950) - full transcript,"Bruce Lee shined in his first leading role as A-Chang in this vivacious social comedy, playing a 10-year-old orphan who's raised by a righteous uncle (Yee), groomed by a skilled thief (Fung) and involved in all sorts of trouble around the factory of a hilariously forgetful miser (Lee Hoi-chuen, Lee's father).",http://subslikescript.com/movie/Xi_lu_xiang-193633
Xolo (2017) - full transcript,"South of Italy. Rosa is a woman with a troubled past. Gino, Rosa's lover, is a violent landowner engaged in dogfights. When Rosa meets Nathaniel, a french drifter, her life takes a new, unexpected turn.",http://subslikescript.com/movie/Xolo-9676614
Xin Qiji 1162 (2020) - full transcript,"In 1161, Wanyan Liang, emperor of the Jurchen Jin Dynasty, planned to invade the Southern Song Dynasty. Owing to the harsh recruitment policy and the Jin's cruelty, people in the Central ...",http://subslikescript.com/movie/Xin_Qiji_1162-12764298
Xiang Gang qi an 5: Jian mo (1977) - full transcript,,http://subslikescript.com/movie/Xiang_Gang_qi_an_5_Jian_mo-934437
XXXHOLic: Shunmuki - Zenpen (2009) - full transcript,"Watanuki and Domeki enjoy meal and drinks with the fortune teller, where Kohane is staying. There, it's explained that everyone changes with every meeting they experience with others, and that all four there, and even Yuko, have changed from meeting Watanuki. Later on, Haruka and Watanuki meet in a dream, in which Haruka asks Watanuki to look for something in the temple's storeroom. However, as they look around, they seemed to have stepped into the realm within the book by accident.",http://subslikescript.com/movie/XXXHOLic_Shunmuki_-_Zenpen-1263772
Xie zi (1992) - full transcript,A group of police friends are investigating a suspicious fellow officer who might be involved in drugs and prostitution.,http://subslikescript.com/movie/Xie_zi-2183186
Xia ri le you you (2011) - full transcript,"(Mandarin with English subtitles) A paralegal (Angelababy) is sent on a undercover mission to inspect You Lele (Eddie Peng), the young owner of a stunning beach resort suspected of illegal business practices. Though the two hit if off on a very wrong note, they grow fond of each other's company despite their clashing personalities.",http://subslikescript.com/movie/Xia_ri_le_you_you-2062580
XTC: This Is Pop (2017) - full transcript,"A brand new film on one of Britain's best-loved and most influential bands of modern times, XTC. Emerging from the late 1970s punk and new wave explosion, XTC amassed a devoted following ...",http://subslikescript.com/movie/XTC_This_Is_Pop-7465694
Xtro 3: Watch the Skies (1995) - full transcript,"Marines travel to a deserted island to diffuse bombs, only to be terrorized by a deadly alien creature.",http://subslikescript.com/movie/Xtro_3_Watch_the_Skies-115006
Xtro (1982) - full transcript,"Tony's father Sam, abducted by aliens three years earlier, returns to earth and seeks out his wife and son, but Rachel has since been living with Joe and the reunion is awkward. Joe doesn't trust Sam, and Rachel can't quite decide what her feelings are for her two men. Sam is not the same as when he left, and he begins affecting Tony in frightening ways.",http://subslikescript.com/movie/Xtro-86610
xXx: Return of Xander Cage (2017) - full transcript,"Extreme athlete turned government operative Xander Cage (Vin Diesel) comes out of self-imposed exile, thought to be long dead, and is set on a collision course with deadly alpha warrior Xiang (Donnie Yen) and his team in a race to recover a sinister and seemingly unstoppable weapon known as Pandora's Box. Recruiting an all-new group of thrill-seeking cohorts, Xander finds himself enmeshed in a deadly conspiracy that points to collusion at the highest levels of world governments.",http://subslikescript.com/movie/xXx_Return_of_Xander_Cage-1293847
XL: The Temptation of Christ (2018) - full transcript,"The Temptation of Christ is detailed in the Gospels of Matthew, Mark and Luke. According to these texts, after being baptized by John the Baptist, Jesus fasted for forty days and forty ...",http://subslikescript.com/movie/XL_The_Temptation_of_Christ-7697348
Xian dai hao fang nu (1985) - full transcript,"A wealthy businessman gives his wife everything she wants, besides one thing, a passionate sex life. The sexually frustrated woman soon gets into several other relationships and soon also learns why her husband is so uninterested with her in bed.",http://subslikescript.com/movie/Xian_dai_hao_fang_nu-90224
Xi He (2015) - full transcript,"Xi He is a 9 year old autistic child who loves to go to school. However, his classmates' parents are afraid of his condition and don't want him to study with their children. For the fourth time, he gets expelled from his school for misbehaving. The director of the school wants to help but with his hands tied, succumbs to the pressure from the other parents. Xi He's mother fights for her son's right to a normal education despite his imperfection. She wants him to have the chance for a normal life. Back in the Chinese countryside, her brother suffers from autism and is hunted by the ignorant people from her village. Her old mother, unable to take care of him any longer, keeps him in a cage to keep him safe from others and from himself; like an animal. Tian Lin's childhood looms of memories tinted by her brother's life's effect on hers. She decides to teach Xi He herself, willing to do everything to save him from this destiny.",http://subslikescript.com/movie/Xi_He-4253132
Xin chen san wu niang (1967) - full transcript,,http://subslikescript.com/movie/Xin_chen_san_wu_niang-62505
Xin qing guó qingchéng (2005) - full transcript,,http://subslikescript.com/movie/Xin_qing_gu_qingchng-4020122
